sku,selling_price,stock_status,availability_status
6291104987746,4.99,1,1
6291105200066,4.0,1,1
6291105202534,4.99,1,1
6291105203562,3.0,1,1
6291105203869,1.95,0,0
6291105203920,3.0,1,1
6291105204118,2.75,1,1
6291105811248,1.5,0,0
6291106111828,8.99,1,1
6291106113945,4.5,1,1
6291106450125,3.0,1,1
6291106450149,4.25,1,1
6291106450156,4.25,1,1
6291106450385,4.5,1,1
6291107464763,12.49,1,1
6291107835495,3.99,1,1
6291108070406,14.99,0,0
6294001818847,12.99,1,1
6294001827481,24.99,1,1
6294004532573,7.5,1,1
6294004532634,15.0,1,1
6294004532641,8.0,1,1
6294004562907,3.75,1,1
6294009941967,9.0,0,0
6294016913490,26.99,0,0
6295120050439,47.5,0,0
6296901910317,5.0,0,0
6297000071138,4.5,1,1
6297000071145,4.5,1,1
6297000082707,4.5,0,0
6297000611198,12.0,1,1
6297001135037,10.95,1,1
6297001135129,1.99,0,0
6297001135501,2.0,1,1
6297001135549,3.25,1,1
6297001135723,6.99,1,1
6297001135778,2.0,1,1
6298044058017,3.5,1,1
6298044058048,4.95,1,1
641995002022,3.99,0,0
6419950083249,7.0,1,1
6419950083584,9.0,1,1
669568144153,2.0,1,1
6901779709207,3.0,1,1
6901779709245,6.0,1,1
6932511217568,6.99,0,0
6941334172022,10.0,0,0
6976009135996,15.99,0,0
7100200789101,16.95,1,1
7100200789102,24.5,1,1
717273501508,12.0,1,1
717273501515,9.0,1,1
717273501546,22.95,1,1
717273501577,16.0,1,1
717273501584,16.0,1,1
717273501690,17.0,1,1
717273501904,5.5,1,1
717273503069,17.0,0,0
717273504219,16.0,1,1
717273701700,8.0,1,1
748485100135,5.0,1,1
748485100418,5.0,1,1
748485200019,3.5,1,1
748485803739,9.0,1,1
7500443004052,11.99,1,1
750515021280,8.5,1,1
752590151456,14.99,1,1
7534518003718,3.99,0,0
7534518010051,2.0,1,1
7534518010617,1.75,0,0
7534518101506,1.75,1,1
76145759,3.99,0,0
761856271029,4.25,1,1
761856271067,6.75,1,1
7622210400291,7.99,0,0
783583182829,29.99,1,1
7898506320417,3.5,0,0
793945349050,27.5,0,0
8000350000585,11.5,1,1
8000350007928,11.99,1,1
8000350008093,12.99,1,1
8000500178669,44.99,0,0
804531151305,3.99,0,0
831730005054,3.99,0,0
846101040237,28.5,1,1
846656000219,10.99,0,0
846656005859,7.49,0,0
855434000023,11.5,0,0
8690504016502,1.99,1,1
8690504034032,1.5,1,1
8690504080893,4.99,1,1
8690579924320,5.99,0,0
8690637829420,7.99,0,0
8714555192623,14.99,0,0
8714789515656,14.99,0,0
8717703610062,8.0,1,1
8801073140578,22.5,0,0
8850213107506,8.99,0,0
8851978910301,8.0,1,1
8888056706105,4.5,0,0
8888056707102,3.99,0,0
8888101030407,3.75,1,1
8888101080402,3.5,1,1
8888101570286,1.99,1,1
8888919123414,26.0,0,0
8901042957326,9.5,0,0
8901216407312,8.5,0,0
8901262180016,8.99,1,1
8901491103442,2.5,0,0
8902850000297,5.99,0,0
8902850020073,19.99,0,0
8904063200068,5.5,1,1
8904063200136,5.5,1,1
8904063200143,5.5,1,1
8904063200198,5.0,1,1
8904063200204,5.0,1,1
8904063200457,5.0,1,1
8904063200488,5.0,1,1
8904063200495,5.0,1,1
8904063200556,5.0,1,1
8904063200723,5.5,1,1
8904063200730,6.0,1,1
8904063203090,4.0,1,1
8904063253606,5.0,1,1
8904063253842,5.0,1,1
8906001056867,8.5,0,0
8906002413737,3.5,0,0
8906012313263,29.95,0,0
8906020580121,5.99,1,1
8906020580763,5.49,1,1
8906020580770,5.49,1,1
8906020588455,14.99,1,1
8906020588462,5.49,1,1
8906020588660,14.99,1,1
8906020589018,14.99,1,1
8906044656734,13.99,1,1
8996001338056,7.5,0,0
9003197031087,16.5,1,1
9011102070014,9.95,1,1
9100300881703,19.95,1,1
9100300881758,4.99,0,0
9501025158918,6.5,1,1
9501025165817,9.99,1,1
9555021512465,1.0,0,0
9556191011208,4.99,0,0
9556437002533,10.95,1,1
9556437009778,2.25,1,1
9557727934312,2.99,0,0
9900068500,4.48,1,1
9900122500,4.48,1,1
9900129100,1.4,1,1
9900129250,3.49,1,1
9900166250,2.49,0,0
9900177500,6.48,0,0
9900189,6.99,1,1
9900193500,10.0,1,1
9900204500,7.48,0,0
9900219,9.95,1,1
9900228500,4.98,1,1
9900236250,2.99,0,0
9900244250,5.74,1,1
9900283,14.99,0,0
9900304500,4.98,1,1
9900306,21.95,1,1
9900321500,9.98,1,1
9900322500,6.98,1,1
9900324500,8.98,1,1
9900332500,19.98,0,0
9900333500,5.98,0,0
9900334500,9.98,1,1
9900337,32.95,0,0
9900339,24.95,0,0
9900340500,8.98,1,1
9900341500,12.48,1,1
9900342500,12.48,0,0
9900345500,5.98,0,0
9900352500,16.48,1,1
9900353500,12.48,1,1
9900360500,4.98,1,1
9900391,29.95,1,1
9900400500,16.48,1,1
9900404,7.99,1,1
9900405,7.95,1,1
9900409,7.99,1,1
9900410,12.95,1,1
9900417,21.95,1,1
9900421500,21.48,1,1
9900429,24.95,1,1
9900490,47.99,1,1
9900746250,13.75,0,0
9900804500,1.98,1,1
9900849500,3.48,1,1
9900858,6.99,1,1
9900862500,4.98,1,1
9900905,16.95,1,1
9900908,44.99,0,0
9900915500,13.48,1,1
9901873,6.99,1,1
9902038500,12.48,1,1
9902093250,8.74,1,1
9902228500,19.98,1,1
9902290,39.95,1,1
9902320500,7.48,1,1
9902416,4.99,0,0
9902417,6.99,1,1
