item_code,units,mrp,cost,stock
100099489.0,PCS,20.0,0.0,0.0
100099498.0,PCS,25.0,0.0,0.0
100025913.0,PCS,26.25,0.0,0.0
100003288.0,PCS,23.1,0.0,0.0
100003293.0,PCS,21.0,0.0,0.0
100003297.0,PCS,26.25,0.0,0.0
100017790.0,PCS,23.65,0.0,0.0
100017807.0,PCS,45.0,0.0,0.0
100023462.0,PCS,47.25,0.0,0.0
100025943.0,PCS,10.5,0.0,0.0
100025950.0,PCS,21.0,0.0,0.0
100025951.0,PCS,84.0,0.0,0.0
100140039.0,PCS,85.0,0.0,1.0
100026110.0,PCS,52.5,0.0,0.0
100025210.0,PCS,21.0,0.0,0.0
100025884.0,PCS,28.35,0.0,0.0
100025894.0,PCS,18.4,0.0,0.0
100025898.0,PCS,10.5,0.0,0.0
100025922.0,PCS,273.0,0.0,0.0
100025923.0,PCS,210.0,0.0,0.0
100025927.0,PCS,105.0,0.0,0.0
100025928.0,PCS,126.0,0.0,0.0
100013646.0,PCS,31.5,0.0,0.0
100023213.0,PCS,33.6,0.0,0.0
100025824.0,PCS,136.5,0.0,0.0
100025825.0,PCS,94.5,0.0,0.0
100025859.0,PCS,30.0,0.0,0.0
100025860.0,PCS,136.5,0.0,0.0
100025861.0,PCS,31.5,0.0,0.0
100094883.0,PCS,48.0,0.0,0.0
100190803.0,PCS,28.0,0.0,3.0
100190804.0,PCS,30.0,0.0,4.0
100190805.0,PCS,20.0,0.0,6.0
100025863.0,PCS,10.5,0.0,0.0
100025864.0,PCS,15.75,0.0,0.0
100026276.0,PCS,42.0,0.0,0.0
100025883.0,PCS,29.4,0.0,0.0
100025899.0,PCS,26.25,0.0,0.0
100025900.0,PCS,31.5,0.0,0.0
100025901.0,PCS,42.0,0.0,0.0
100025902.0,PCS,78.75,0.0,0.0
100025903.0,PCS,31.5,0.0,0.0
100025905.0,PCS,26.25,0.0,0.0
100031625.0,PCS,50.4,0.0,0.0
100047975.0,PCS,30.0,0.0,0.0
100048283.0,PCS,10.0,0.0,0.0
100048300.0,PCS,15.0,0.0,0.0
100015443.0,PCS,21.0,0.0,0.0
100024099.0,PCS,6.0,0.0,0.0
100025880.0,PCS,42.0,0.0,0.0
100025891.0,PCS,36.75,0.0,0.0
100025893.0,PCS,21.0,0.0,0.0
100025912.0,PCS,28.35,0.0,0.0
100025920.0,PCS,21.0,0.0,0.0
100032681.0,PCS,26.25,0.0,0.0
100032953.0,PCS,10.0,0.0,0.0
100034696.0,PCS,33.6,0.0,0.0
100041687.0,PCS,21.0,0.0,0.0
100054198.0,PCS,18.0,0.0,0.0
100054203.0,PCS,20.0,0.0,0.0
100057850.0,PCS,20.0,0.0,0.0
100058291.0,PCS,32.0,0.0,0.0
100071708.0,PCS,8.0,0.0,0.0
100073494.0,PCS,15.0,0.0,3.0
100073497.0,PCS,20.0,0.0,2.0
100080547.0,PCS,15.0,0.0,0.0
100086693.0,PCS,15.0,0.0,0.0
100098078.0,PCS,32.0,0.0,0.0
100104972.0,PCS,36.0,0.0,0.0
100190799.0,PCS,15.0,0.0,1.0
100190800.0,PCS,30.0,0.0,2.0
100190801.0,PCS,15.0,0.0,2.0
100190802.0,PCS,10.0,0.0,3.0
100198396.0,PCS,9.95,0.0,5.0
100014475.0,PCS,36.0,0.0,0.0
100014476.0,PCS,39.0,0.0,2.0
100014517.0,PCS,14.0,0.0,1.0
100019733.0,PCS,31.5,0.0,0.0
100024776.0,PCS,40.95,0.0,1.0
100024777.0,PCS,44.1,0.0,0.0
100024779.0,PCS,15.75,0.0,0.0
100024782.0,PCS,10.5,0.0,1.0
100024784.0,PCS,31.5,0.0,0.0
100025187.0,PCS,31.5,0.0,0.0
100025792.0,PCS,15.75,0.0,0.0
100025793.0,PCS,15.75,0.0,0.0
100025885.0,PCS,15.25,0.0,0.0
100025887.0,PCS,5.25,0.0,0.0
100027481.0,PCS,21.0,0.0,0.0
100027489.0,PCS,21.0,0.0,0.0
100027512.0,PCS,20.0,0.0,5.0
100032468.0,PCS,21.0,0.0,0.0
100032469.0,PCS,26.25,0.0,0.0
100032598.0,PCS,22.0,0.0,0.0
100032599.0,PCS,15.75,0.0,0.0
100044642.0,PCS,14.5,0.0,0.0
100048341.0,PCS,5.25,0.0,0.0
100073492.0,PCS,15.75,0.0,3.0
100073495.0,PCS,11.5,0.0,5.0
100073589.0,PCS,8.4,0.0,0.0
100073595.0,PCS,18.0,0.0,3.0
100073596.0,PCS,28.0,0.0,3.0
100073599.0,PCS,18.9,0.0,2.0
100073601.0,PCS,26.25,0.0,3.0
100073603.0,PCS,7.0,0.0,0.0
100073604.0,PCS,14.0,0.0,0.0
100073605.0,PCS,8.4,0.0,2.0
100073606.0,PCS,37.8,0.0,2.0
100073611.0,PCS,10.5,0.0,2.0
100073612.0,PCS,8.0,0.0,0.0
100073613.0,PCS,8.0,0.0,0.0
100073614.0,PCS,10.5,0.0,4.0
100073615.0,PCS,51.5,0.0,3.0
100017997.0,PCS,29.95,0.0,0.0
100025856.0,PCS,31.5,0.0,0.0
100025896.0,PCS,49.9,0.0,0.0
100025925.0,PCS,131.25,0.0,0.0
100025926.0,PCS,103.95,0.0,0.0
100025919.0,PCS,73.5,0.0,0.0
100007707.0,PCS,68.25,0.0,0.0
100007711.0,PCS,204.75,0.0,0.0
100016087.0,PCS,288.75,0.0,0.0
100023393.0,PCS,65.65,0.0,0.0
100023948.0,PCS,304.5,0.0,0.0
100024467.0,PCS,131.25,0.0,0.0
100025930.0,PCS,99.75,0.0,0.0
100025931.0,PCS,141.75,0.0,0.0
100027198.0,PCS,68.25,0.0,0.0
100031211.0,PCS,131.25,0.0,0.0
100031214.0,PCS,173.25,0.0,0.0
100033273.0,PCS,179.0,0.0,0.0
100034362.0,PCS,189.0,0.0,0.0
100057888.0,PCS,170.0,0.0,0.0
100059402.0,PCS,133.0,0.0,0.0
100064308.0,PCS,160.0,0.0,0.0
100007216.0,PCS,14.0,0.0,0.0
100007217.0,PCS,14.0,0.0,0.0
100007218.0,PCS,15.0,0.0,0.0
100007219.0,PCS,19.0,0.0,0.0
100016450.0,PCS,30.45,0.0,0.0
100016451.0,PCS,39.9,0.0,0.0
100019822.0,PCS,76.65,0.0,0.0
100023096.0,PCS,36.75,0.0,0.0
100024096.0,PCS,14.2,0.0,0.0
100025815.0,PCS,31.5,0.0,0.0
100025819.0,PCS,26.25,0.0,0.0
100025820.0,PCS,34.65,0.0,0.0
100025821.0,PCS,20.0,0.0,0.0
100025822.0,PCS,31.5,0.0,0.0
100025892.0,PCS,37.8,0.0,0.0
100025895.0,PCS,28.35,0.0,0.0
100032125.0,PCS,24.0,0.0,0.0
100045429.0,PCS,15.75,0.0,0.0
100052461.0,PCS,16.0,0.0,0.0
100052860.0,PCS,20.0,0.0,0.0
100057896.0,PCS,18.9,0.0,0.0
100065621.0,PCS,19.95,0.0,0.0
100089043.0,PCS,32.0,0.0,0.0
100008523.0,PCS,47.25,0.0,0.0
100025878.0,PCS,78.75,0.0,0.0
100025879.0,PCS,15.75,0.0,0.0
100025881.0,PCS,21.0,0.0,0.0
100025921.0,PCS,31.5,0.0,0.0
100001111.0,PCS,111.3,0.0,0.0
100001112.0,PCS,109.0,0.0,0.0
100001453.0,PCS,68.25,0.0,0.0
100007778.0,PCS,50.0,0.0,0.0
100013668.0,PCS,69.0,0.0,0.0
100017608.0,PCS,349.65,0.0,0.0
100017609.0,PCS,313.95,0.0,0.0
100017619.0,PCS,91.99,0.0,0.0
100028074.0,PCS,76.0,0.0,0.0
100028080.0,PCS,68.25,0.0,0.0
100028172.0,PCS,26.25,0.0,0.0
100046007.0,PCS,90.0,0.0,0.0
100058341.0,PCS,67.0,0.0,0.0
100058347.0,PCS,119.0,0.0,0.0
100067302.0,PCS,65.0,0.0,0.0
100076382.0,PCS,99.0,0.0,0.0
100076522.0,PCS,110.0,0.0,0.0
100080843.0,PCS,85.0,0.0,0.0
100080844.0,PCS,75.0,0.0,0.0
100081774.0,PCS,72.0,0.0,0.0
100091114.0,PCS,59.0,0.0,1.0
100091115.0,PCS,99.0,0.0,0.0
100091919.0,PCS,69.0,0.0,0.0
100092552.0,PCS,180.0,0.0,0.0
100094467.0,PCS,75.0,0.0,0.0
100097615.0,PCS,59.0,0.0,0.0
100099543.0,PCS,69.0,0.0,1.0
100100611.0,PCS,129.0,0.0,0.0
100106744.0,PCS,75.0,0.0,0.0
100110934.0,PCS,34.0,0.0,0.0
100113989.0,PCS,105.0,0.0,0.0
100115661.0,PCS,120.0,0.0,0.0
100119238.0,PCS,49.0,0.0,0.0
100119321.0,PCS,79.99,0.0,0.0
100151128.0,PCS,49.95,0.0,0.0
100151879.0,PCS,49.0,0.0,2.0
100160538.0,PCS,45.0,0.0,0.0
100177733.0,PCS,69.0,0.0,0.0
100187040.0,PCS,55.0,0.0,3.0
100189405.0,PCS,130.0,0.0,0.0
100189408.0,PCS,110.0,0.0,0.0
100205623.0,PCS,75.0,0.0,1.0
100130049.0,PCS,68.0,0.0,0.0
100166566.0,PCS,119.0,0.0,0.0
100185446.0,PCS,155.0,0.0,1.0
100160698.0,PCS,109.0,0.0,1.0
100006680.0,PCS,23.1,0.0,0.0
100028112.0,PCS,157.5,0.0,0.0
100036219.0,PCS,23.0,0.0,0.0
100049845.0,PCS,98.0,0.0,0.0
100071994.0,PCS,168.0,0.0,0.0
100077302.0,PCS,105.0,0.0,0.0
100000210.0,PCS,63.0,0.0,0.0
100000211.0,PCS,52.5,0.0,0.0
100001437.0,PCS,51.45,0.0,0.0
100001439.0,PCS,60.9,0.0,0.0
100001450.0,PCS,57.75,0.0,0.0
100001451.0,PCS,52.45,0.0,0.0
100026972.0,PCS,63.0,0.0,0.0
100028088.0,PCS,59.0,0.0,0.0
100028110.0,PCS,56.7,0.0,0.0
100028761.0,PCS,81.9,0.0,0.0
100028762.0,PCS,52.5,0.0,0.0
100028814.0,PCS,71.4,0.0,0.0
100031834.0,PCS,63.0,0.0,0.0
100049843.0,PCS,51.45,0.0,0.0
100049844.0,PCS,43.0,0.0,0.0
100051780.0,PCS,57.75,0.0,2.0
100051957.0,PCS,26.0,0.0,1.0
100053690.0,PCS,29.95,0.0,0.0
100053691.0,PCS,34.0,0.0,0.0
100058352.0,PCS,27.5,0.0,4.0
100062931.0,PCS,26.0,0.0,0.0
100067614.0,PCS,32.0,0.0,0.0
100069603.0,PCS,32.0,0.0,0.0
100070310.0,PCS,27.0,0.0,0.0
100071066.0,PCS,25.0,0.0,0.0
100072545.0,PCS,38.0,0.0,0.0
100076370.0,PCS,40.0,0.0,0.0
100080845.0,PCS,39.0,0.0,0.0
100080859.0,PCS,59.0,0.0,0.0
100083997.0,PCS,66.0,0.0,0.0
100083998.0,PCS,105.0,0.0,0.0
100084000.0,PCS,98.0,0.0,0.0
100088046.0,PCS,92.95,0.0,2.0
100089110.0,PCS,38.0,0.0,0.0
100091920.0,PCS,78.0,0.0,0.0
100098891.0,PCS,102.0,0.0,0.0
100110860.0,PCS,28.0,0.0,1.0
100151042.0,PCS,25.0,0.0,1.0
100178124.0,PCS,18.95,0.0,1.0
100189407.0,PCS,95.0,0.0,0.0
100111655.0,PCS,7.5,0.0,0.0
100111656.0,PCS,7.5,0.0,0.0
100001594.0,PCS,76.65,0.0,0.0
100019865.0,PCS,49.95,0.0,0.0
100020620.0,PCS,73.5,0.0,0.0
100028079.0,PCS,47.25,0.0,0.0
100028086.0,PCS,159.95,0.0,0.0
100028087.0,PCS,57.75,0.0,0.0
100028090.0,PCS,124.95,0.0,0.0
100028106.0,PCS,156.45,0.0,0.0
100064208.0,PCS,39.0,0.0,0.0
100071986.0,PCS,69.0,0.0,0.0
100085055.0,PCS,39.0,0.0,0.0
100094841.0,PCS,34.95,0.0,1.0
100106140.0,PCS,70.0,0.0,0.0
100130572.0,PCS,4.95,0.0,4.0
100001118.0,PCS,129.95,0.0,0.0
100054550.0,PCS,131.25,0.0,0.0
100118412.0,PCS,129.0,0.0,1.0
100006447.0,PCS,100.0,0.0,0.0
100009949.0,PCS,49.0,0.0,0.0
100016226.0,PCS,115.0,0.0,0.0
100028108.0,PCS,48.5,0.0,0.0
100041133.0,PCS,115.5,0.0,0.0
100049831.0,PCS,159.6,0.0,0.0
100064361.0,PCS,145.0,0.0,0.0
100066224.0,PCS,145.0,0.0,0.0
100066584.0,PCS,95.0,0.0,2.0
100069606.0,PCS,80.0,0.0,2.0
100071993.0,PCS,145.0,0.0,0.0
100076385.0,PCS,120.0,0.0,0.0
100077891.0,PCS,48.0,0.0,0.0
100089713.0,PCS,79.0,0.0,0.0
100114174.0,PCS,85.0,0.0,0.0
100119311.0,PCS,85.0,0.0,0.0
100119312.0,PCS,149.0,0.0,0.0
100123463.0,PCS,158.0,0.0,0.0
100131383.0,PCS,32.0,0.0,0.0
100139234.0,PCS,20.0,0.0,2.0
100144086.0,PCS,32.0,0.0,0.0
100150986.0,PCS,179.5,0.0,0.0
100203085.0,PCS,68.5,0.0,0.0
100205074.0,PCS,28.5,0.0,4.0
100206420.0,PCS,26.5,0.0,4.0
100028176.0,PCS,4.75,0.0,0.0
100045794.0,PCS,5.25,0.0,0.0
100000548.0,PCS,72.45,0.0,0.0
100001779.0,PCS,90.0,0.0,0.0
100001780.0,PCS,124.95,0.0,0.0
100005442.0,PCS,65.0,0.0,0.0
100028084.0,PCS,49.95,0.0,0.0
100033736.0,PCS,80.0,0.0,0.0
100051174.0,PCS,82.0,0.0,0.0
100054609.0,PCS,63.0,0.0,0.0
100054613.0,PCS,125.0,0.0,0.0
100054614.0,PCS,78.75,0.0,0.0
100054662.0,PCS,110.0,0.0,0.0
100054663.0,PCS,75.0,0.0,0.0
100064215.0,PCS,99.0,0.0,0.0
