item_code,name,units,mrp,cost,stock
100096771.0,Sully 2`S Aa Battery 1.5V Lr6,PCS,3.0,0.0,8.0
100098543.0,Fujitsu Aaa Battery 4`S Lr03 4B Fu W Fi,PCS,6.0,0.0,0.0
100098581.0,Fujitsu Aaa Battery 2`S Lr03/1.5V 2B Fu,PCS,3.5,0.0,0.0
100098582.0,Fujitsu Aa Battery 2`S Lr6/1.5V 2B Fu W,PCS,3.5,0.0,0.0
100100517.0,Fujitsu D Battery 2`S R20 2S Fgp,PCS,5.0,0.0,0.0
100102842.0,Saniy Alkaline Aa Battery 2`S,PCS,3.0,0.0,0.0
100110123.0,Duracell   Battery 2`S 1.5V D2,PCS,16.0,0.0,0.0
100114171.0,Saniy Alkaline Aa Battery 4`S,PCS,2.5,0.0,0.0
100133167.0,Panasonic Evolta Battery Aa 4`S,PCS,8.4,0.0,0.0
100138517.0,Panasonic  Aa Battery 4`S Lr6-1.5 V,PCS,8.0,0.0,0.0
100139950.0,Panasonic Aa 2Pcs Alkaline Battery Lr6 1,PCS,6.0,0.0,0.0
100139993.0,Panasonic Aaa 2Pcs Alkaline Battery Lr03,PCS,5.25,0.0,0.0
100002590.0,Energizer Aaa 2Pcs Ultimate Battery,PCS,25.0,0.0,0.0
100002597.0,Energizer Lthium Battery-2016,PCS,7.0,0.0,0.0
100002606.0,Energizer Lthium Battery-2025,PCS,7.5,0.0,3.0
100010441.0,Energizer Aa 2Pcs Ultimate Battery,PCS,25.0,0.0,0.0
100010445.0,Maxell Lithium Battery-Cr2032,PCS,4.0,0.0,0.0
100014761.0,Energizer Lithium Battery Ecr2032Bp1,PCS,8.5,0.0,19.0
100014762.0,Camelion Lithium 3V Cr2032-Bp5 Ak-1820,PCS,3.0,0.0,0.0
100014771.0,Maxell Lithium Battery-Cr2016,PCS,3.15,0.0,0.0
100016288.0,Mu Rata Lithium Battery 2032,PCS,4.0,0.0,0.0
100018585.0,Energizer 1Cr2 Battery,PCS,13.65,0.0,0.0
100025960.0,Tianqiu Lithium Battery Cr1616,PCS,3.15,0.0,0.0
100025962.0,Energizer Lithium Battery Ecr2430,PCS,4.75,0.0,0.0
100026062.0,Maxell Lithium Battery Cr1616 3V,PCS,3.15,0.0,0.0
100026063.0,Energizer Lithium Battery Ecr1620 3V,PCS,5.8,0.0,0.0
100026074.0,Energizer Lithium Battery 123Cr17345,PCS,13.15,0.0,0.0
100026075.0,Maxell Lithium Battery Cr2025 3V,PCS,4.0,0.0,0.0
100032414.0,Panasonic Lithium Battery Cr2032,OUT,12.6,0.0,0.0
100032414.0,Panasonic Lithium Battery Cr2032,PCS,5.0,0.0,0.0
100032433.0,Sony Lithium Battery 3V Cr2025,PCS,4.0,0.0,1.0
100045328.0,Duracell Lithium 3V/B 2025 Battery,PCS,6.0,0.0,0.0
100045915.0,Energizer Lithium Battery Ecr1616,PCS,6.3,0.0,0.0
100048211.0,Duracell Lithium 3V/B 2032 Battery,PCS,6.5,0.0,0.0
100051480.0,Panasonic Lithium Battery Cr2025 3V,PCS,3.0,0.0,0.0
100053340.0,Duracell Lithium 3V/B 2016 Battery,PCS,5.5,0.0,0.0
